epoch,train_loss,val_loss,train_mae_scaled,val_mae_scaled,learning_rate
1,0.3263141944553626,0.5984891591771472,0.38346667383821725,0.5224060891811763,0.001
2,0.14243388704463578,0.5888957555167212,0.25293078962061727,0.522654834659652,0.001
3,0.09868957194622427,0.5625189723985486,0.20802851877175516,0.5135215976947722,0.001
4,0.07736155348007881,0.6051478748886139,0.18117484461552405,0.5347309186043093,0.001
5,0.06502595350314867,0.5851554927384431,0.16415018026404116,0.5266483521212084,0.001
6,0.05651945965822763,0.5872806387862463,0.15223240676725328,0.5276846836596535,0.001
7,0.050289979624500464,0.5875362376977838,0.1431315358329277,0.5311269454745919,0.001
8,0.04357679089714088,0.5961557498308271,0.13191272759399925,0.5341089251257385,0.0005
9,0.041410425409059155,0.590370500217746,0.12855477617135708,0.5324251260944233,0.0005
10,0.03951406931836365,0.5839225294434518,0.12528799866899257,0.5287379610917894,0.0005
